Index,Word List,N_Ltr,N_PG,NMorph,NSyll,POS,Occurrences,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,BiphonP_Un,PLD20,Sem_N_D,Phonographic_N,PG_Prob_Mean,PG_Prob_Min,GP_Prob_Mean,GP_Prob_Min,GP_Freq_Mean,GP_Freq_Min,P_Freq_Mean,P_Freq_Min,G_Freq_Mean,G_Freq_Min,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14,PG15,OR_Prob_Mean,OR_Prob_Min,OR_Freq_Mean,OR_Freq_Min,Onset1,Rime1,Onset2,Rime2,Onset3,Rime3,Onset4,Rime4,Onset5,Rime5,Onset6,Rime6
4023,hung,4,3,1,1,VB|NN,1,3.157456768,1,1.55,1,1.2,0.58868366,7,0.929,0.8082,0.8295,0.4885,2.7624,2.7084,2.79626666666667,2.7218,2.86596666666667,2.7143,h+h,ʌ+u,ŋ+ng,,,,,,,,,,,,,1,1,1.9298,1.1461,h+h,ʌŋ+ung,,,,,,,,,,
5143,mood,4,3,1,1,NN,1,3.239799818,1,1.35,1,1,0.58677,5,0.748766666666667,0.4349,0.861966666666667,0.5931,2.64563333333333,2.1399,2.7958,2.4997,2.72186666666667,2.3655,m+m,u+oo,d+d,,,,,,,,,,,,,0.60525,0.2105,1.75395,0.699,m+m,ud+ood,,,,,,,,,,
3652,gush,4,3,1,1,VB|NN,1,1.568201724,1,1.4,1,1.3,0.30518594,7,0.880433333333333,0.8082,0.787833333333333,0.4885,2.44526666666667,2.0253,2.5012,2.0755,2.5681,2.0253,g+g,ʌ+u,ʃ+sh,,,,,,,,,,,,,0.7254,0.6667,1.7471,1.1761,g+g,ʌʃ+ush,,,,,,,,,,
891,booty,5,4,1,2,NN,1,2.496929648,1,1.75,1,1.3,0.4268513,2,0.71795,0.1942,0.8836,0.6429,2.700625,1.7404,2.915275,2.4456,2.76,1.9294,b+b,u+oo,t+t,i+y,,,,,,,,,,,,0.883625,0.6471,2.6642,1.7482,b+b,u+oo,t+t,i+y,,,,,,,,
9068,whirl,5,4,1,1,NN|VB,1,1.954242509,1,1.9,1,1.7,0.25162888,0,0.51825,0.0491,0.7382,0.0487,2.5322,1.8261,3.0728,2.6212,2.869975,1.8692,w+wh,ɚ+i,ɹ+r,l+l,,,,,,,,,,,,0.95205,0.9041,1.3356,0.8451,w+wh,ɚɹl+irl,,,,,,,,,,
1731,confetti,8,7,1,3,NN,1,1.672097858,1,3,1,2.85,0.29040647,0,0.519271428571429,0.0318,0.768371428571429,0.3518,2.56172857142857,1.5563,3.04814285714286,2.6675,2.71111428571429,1.6435,k+c,ə+o,n+n,f+f,ɛ+e,t+tt,i+i,,,,,,,,,0.763033333333333,0.3729,2.31945,1.5563,k+c,ən+on,f+f,ɛ+e,t+tt,i+i,,,,,,
4604,lick,4,3,1,1,VB|NN,1,2.748188027,1,1.2,1,1,0.44170779,13,0.649033333333333,0.2372,0.939666666666667,0.819,2.66163333333333,2.1004,2.9186,2.6675,2.6905,2.1004,l+l,ɪ+i,k+ck,,,,,,,,,,,,,0.9697,0.9394,2.0863,1.5051,l+l,ɪk+ick,,,,,,,,,,
2074,dairy,5,4,1,2,NN,1,2.155336037,1,1.75,1,1,0.57609183,2,0.6455,0.0065,0.7638,0.1064,2.334,0.7782,2.913375,2.8432,2.565425,1.6812,d+d,ɛ+ai,ɹ+r,i+y,,,,,,,,,,,,0.763625,0.102,2.31965,0.7782,d+d,ɛ+ai,ɹ+r,i+y,,,,,,,,
2654,engage,6,5,1,2,VB,1,2.498310554,1,2.35,1,2.4,0.62137508,1,0.7065,0.3661,0.61444,0.3883,2.46674,2.0607,2.64474,2.143,2.6939,2.316,ɪ+e,n+n,g+g,eɪ+a_e,dʒ+g,,,,,,,,,,,0.2705,0.0551,1.57376666666667,1.1461,,ɪn+en,g+g,eɪdʒ+a_eg,,,,,,,,
5155,moreover,8,7,2,3,RB,1,1.806179974,1,3.15,1,3.8,0.6499877,0,0.770542857142857,0.0964,0.674871428571429,0.1447,2.51442857142857,1.0792,2.71032857142857,1.2041,2.78854285714286,1.8865,m+m,ɔ+o_e,ɹ+r,oʊ+o,v+v,ɚ+e,ɹ+r,,,,,,,,,0.85238,0.2722,2.36324,0.9542,m+m,ɔɹ+o_er,,oʊ+o,v+v,ɚɹ+er,,,,,,
